distance,rate_mbps,ifaces,interpkt_us,time_s,occupancy_pcnt
0.25 m,1,1,100,NA,81.97
0.25 m,1,2,100,NA,82.46
0.25 m,1,1,10000,NA,77.90
0.25 m,1,2,10000,NA,85.68
0.25 m,1,1,20000,NA,48.53
0.25 m,1,2,20000,NA,82.36
0.25 m,1,1,30000,NA,31.1
0.25 m,1,2,30000,NA,62.98
0.25 m,1,1,40000,NA,23.86
0.25 m,1,2,40000,NA,49.83
0.25 m,1,1,50000,NA,19.51
0.25 m,1,2,50000,NA,39.3
0.25 m,1,1,60000,NA,15.89
0.25 m,1,2,60000,NA,31.2
0.25 m,1,1,70000,NA,16.37
0.25 m,1,2,70000,NA,29.19
0.25 m,1,1,80000,NA,14.22
0.25 m,1,2,80000,NA,25.35
0.25 m,1,1,90000,NA,12.7
0.25 m,1,2,90000,NA,20.82
0.25 m,1,1,100000,NA,10.22
0.25 m,1,2,100000,NA,19.27
